feature,mean_abs_shap
PM2.5,6.7081585
AQI_rolling_min_30,2.0100243
CO_rolling_min_14,1.4943737
day_of_year_cos,1.1831025
day_of_year,0.5662047
AQI,0.5223283
PM2.5_rolling_mean_3,0.49432245
PM10_change_7,0.46057191
PM2.5_rolling_min_3,0.4510375
PM2.5_rolling_max_3,0.44014147
PM2.5_rolling_min_14,0.4317523
PM2.5_change_1,0.37147593
CO_rolling_std_14,0.36045828
PM2.5_change_3,0.3485199
PM10_change_1,0.33075854
NO2_rolling_mean_14,0.30887318
SO2_rolling_max_14,0.29938957
PM10_pct_change_1,0.2971927
CO_rolling_std_30,0.2747239
Humidity_lag_14,0.26729682
PM2.5_rolling_min_30,0.25929233
AQI_rolling_mean_30,0.2565517
PM10_rolling_mean_3,0.2546335
PM10,0.24915661
O3_rolling_max_7,0.24406189
NO2_change_3,0.24129216
O3,0.2277243
O3_change_3,0.21959697
NO2_rolling_max_30,0.21403968
NO2_rolling_std_30,0.20747149
Temperature_lag_3,0.20390467
day_of_year_sin,0.20108087
O3_change_7,0.20004821
PM10_lag_21,0.19915886
AQI_change_1,0.19528319
AQI_rolling_std_14,0.18696374
SO2,0.18125899
AQI_pct_change_1,0.18061681
NO2_lag_14,0.18044229
Humidity_lag_7,0.17460673
PM2.5_change_7,0.1709706
PM10_change_3,0.17005545
PM2.5_rolling_std_30,0.16966838
AQI_momentum_14,0.16740878
NO2_lag_30,0.16553147
SO2_change_1,0.15434088
PM2.5_rolling_std_14,0.15433522
PM10_rolling_max_7,0.15383278
O3_lag_14,0.15357496
AQI_change_7,0.15190361
PM25_Humidity_interaction,0.15056409
PM2.5_rolling_max_30,0.14805277
PM10_pct_change_7,0.14604072
CO_lag_3,0.14455226
PM2.5_pct_change_1,0.14394452
SO2_lag_30,0.14384139
Temp_Humidity_interaction,0.14250179
SO2_rolling_std_3,0.1409377
PM2.5_lag_21,0.14051716
O3_lag_30,0.14017405
PM10_rolling_max_3,0.13881601
Temperature_lag_30,0.1384515
O3_rolling_min_14,0.13749126
O3_rolling_min_3,0.13582186
CO_lag_30,0.13514136
SO2_lag_21,0.13498312
Humidity,0.13490337
Temperature_lag_7,0.1347865
O3_rolling_min_7,0.13271046
AQI_lag_21,0.13044344
AQI_rolling_std_7,0.1279278
NO2_lag_21,0.12778848
PM2.5_rolling_min_7,0.12741834
CO_pct_change_1,0.1264544
Temperature,0.1261996
O3_lag_3,0.12559125
PM10_rolling_std_14,0.12327824
SO2_rolling_std_7,0.122086465
O3_change_1,0.12196859
SO2_rolling_std_14,0.120951355
NO2_rolling_std_14,0.12037823
SO2_change_3,0.11828802
PM10_lag_2,0.11798787
AQI_rolling_std_30,0.11736599
PM10_rolling_std_3,0.117268324
AQI_rolling_min_14,0.116363205
AQI_change_3,0.11634124
AQI_pct_change_7,0.1162197
PM10_lag_14,0.114655405
PM2.5_rolling_mean_14,0.1141412
PM2.5_rolling_max_7,0.11277088
NO2_rolling_mean_7,0.11076864
Temperature_lag_1,0.109887384
CO_NO2_ratio,0.10874612
O3_rolling_std_14,0.10794117
AQI_lag_30,0.10596126
O3_rolling_std_30,0.105408065
SO2_pct_change_1,0.104704656
PM10_rolling_mean_14,0.10389402
PM25_PM10_ratio,0.103343286
CO_rolling_min_30,0.10279465
PM10_lag_3,0.10035633
NO2_change_7,0.099425524
SO2_lag_2,0.09816662
PM10_rolling_std_30,0.09767883
