Model,Horizon,MAE,RMSE,R2
Baseline,AQI_t+1,8.711647727272727,12.852804462225041,0.5317094601459152
Baseline,AQI_t+2,11.562184343434343,15.962795170353887,0.2784570342121643
Baseline,AQI_t+3,13.383996212121215,18.462439084095106,0.002375327607121558
Ridge Regression,AQI_t+1,7.581189725444879,10.217469849231788,0.7040581983844553
Ridge Regression,AQI_t+2,14.04872338189113,18.861738392544726,-0.007413460337101441
Ridge Regression,AQI_t+3,15.00153100657176,19.458883156451034,-0.10821710992353628
Random Forest,AQI_t+1,6.274215593434346,9.03847897507923,0.7684150737575556
Random Forest,AQI_t+2,9.673706439393944,13.231430439010904,0.5042554925705058
Random Forest,AQI_t+3,10.458963068181818,14.226921027182733,0.4076056988161585
XGBoost,AQI_t+1,5.3629894690080135,7.809339239142433,0.8271186433820567
XGBoost,AQI_t+2,9.868506325615778,13.648660352133627,0.47249768711246165
XGBoost,AQI_t+3,10.590884353175309,14.46971101591475,0.38721412553145507
